Date,CampaignID,CampaignName,Platform,TargetAudience,Impressions,Clicks,Leads,Applications,Enrollments,Cost (₹),Revenue (₹),Region
2024-07-01,AD001,UG Admission,Google Ads,17–21 Age,189966,6959,1711,797,357,"₹ 128,422","₹ 2,524,973",South India
2024-07-02,AD001,UG Admission,Google Ads,17–21 Age,290368,17043,2956,1912,1082,"₹ 182,545","₹ 3,348,575",South India
2024-07-03,AD001,UG Admission,Google Ads,17–21 Age,98624,5398,1025,555,234,"₹ 58,644","₹ 1,605,698",East India
2024-07-04,AD001,UG Admission,Google Ads,17–21 Age,185544,8967,1881,974,497,"₹ 143,891","₹ 2,013,576",North India
2024-07-05,AD001,UG Admission,Google Ads,17–21 Age,64345,2893,673,399,231,"₹ 58,397","₹ 1,512,058",East India
2024-07-06,AD001,UG Admission,Google Ads,17–21 Age,260059,15459,2859,1616,748,"₹ 238,170","₹ 3,760,809",Pan India
2024-07-07,AD001,UG Admission,Google Ads,17–21 Age,272679,12573,2386,1298,669,"₹ 125,239","₹ 4,864,240",East India
2024-07-08,AD001,UG Admission,Google Ads,17–21 Age,248350,16741,2897,1713,861,"₹ 217,165","₹ 3,498,931",Pan India
2024-07-09,AD001,UG Admission,Google Ads,17–21 Age,177393,7806,1826,1016,471,"₹ 138,014","₹ 3,729,597",Pan India
2024-07-10,AD001,UG Admission,Google Ads,17–21 Age,151029,9303,1887,1057,498,"₹ 70,776","₹ 1,931,400",Pan India
2024-07-11,AD001,UG Admission,Google Ads,17–21 Age,53745,4296,787,354,145,"₹ 28,331","₹ 567,613",North India
2024-07-12,AD001,UG Admission,Google Ads,17–21 Age,81985,2676,589,334,155,"₹ 39,731","₹ 1,134,387",East India
2024-07-13,AD001,UG Admission,Google Ads,17–21 Age,101535,3234,704,418,167,"₹ 49,643","₹ 538,638",South India
2024-07-14,AD001,UG Admission,Google Ads,17–21 Age,56203,3399,526,282,124,"₹ 50,748","₹ 703,721",East India
2024-07-15,AD001,UG Admission,Google Ads,17–21 Age,172571,12649,2920,1512,709,"₹ 144,033","₹ 4,185,548",West India
2024-07-16,AD001,UG Admission,Google Ads,17–21 Age,206620,15320,3284,2077,936,"₹ 107,032","₹ 4,032,427",West India
2024-07-17,AD001,UG Admission,Google Ads,17–21 Age,238579,11277,1997,942,481,"₹ 200,473","₹ 1,996,665",West India
2024-07-18,AD001,UG Admission,Google Ads,17–21 Age,299596,13778,2469,1401,803,"₹ 133,225","₹ 4,364,605",Pan India
2024-07-19,AD001,UG Admission,Google Ads,17–21 Age,289584,9928,1754,852,495,"₹ 233,554","₹ 1,607,665",North India
2024-07-20,AD001,UG Admission,Google Ads,17–21 Age,272890,10309,2371,1461,865,"₹ 248,691","₹ 6,675,095",West India
2024-07-21,AD001,UG Admission,Google Ads,17–21 Age,285905,8585,1949,993,582,"₹ 254,212","₹ 3,218,556",West India
2024-07-22,AD001,UG Admission,Google Ads,17–21 Age,92579,6825,1236,768,372,"₹ 46,341","₹ 2,501,010",West India
2024-07-23,AD001,UG Admission,Google Ads,17–21 Age,262199,20171,3719,2289,1259,"₹ 108,833","₹ 8,859,616",North India
2024-07-24,AD001,UG Admission,Google Ads,17–21 Age,198212,6874,1415,799,462,"₹ 108,824","₹ 3,333,666",Pan India
2024-07-25,AD001,UG Admission,Google Ads,17–21 Age,118809,7312,1760,995,443,"₹ 100,652","₹ 2,996,388",West India
2024-07-26,AD001,UG Admission,Google Ads,17–21 Age,182889,5572,878,401,226,"₹ 93,158","₹ 1,525,793",North India
2024-07-27,AD001,UG Admission,Google Ads,17–21 Age,85016,3976,731,365,182,"₹ 39,558","₹ 1,358,546",South India
2024-07-28,AD001,UG Admission,Google Ads,17–21 Age,136206,8419,2017,1200,719,"₹ 66,697","₹ 3,914,237",West India
2024-07-29,AD001,UG Admission,Google Ads,17–21 Age,165347,11046,2068,1143,503,"₹ 143,383","₹ 1,991,696",South India
2024-07-30,AD001,UG Admission,Google Ads,17–21 Age,293930,12917,3074,1552,860,"₹ 135,738","₹ 4,957,160",West India
2024-07-31,AD001,UG Admission,Google Ads,17–21 Age,143598,9751,1930,965,442,"₹ 121,893","₹ 1,449,677",Pan India
2024-08-01,AD001,UG Admission,Google Ads,17–21 Age,54410,4309,693,357,191,"₹ 48,121","₹ 1,063,428",North India
2024-08-01,AD005,Semester Exchange Program,Instagram,22–27 Age,100600,4426,1006,578,315,"₹ 88,125","₹ 2,363,534",South India
2024-08-02,AD001,UG Admission,Google Ads,17–21 Age,132675,10342,1904,862,374,"₹ 113,476","₹ 1,926,664",North India
2024-08-02,AD005,Semester Exchange Program,Instagram,17–21 Age,120721,9109,1747,1023,521,"₹ 75,050","₹ 2,509,324",North India
2024-08-03,AD001,UG Admission,Google Ads,17–21 Age,200741,11692,2445,1190,664,"₹ 136,501","₹ 3,345,577",South India
2024-08-03,AD005,Semester Exchange Program,Instagram,17–21 Age,208142,16098,3655,2210,1252,"₹ 141,729","₹ 7,709,100",Pan India
2024-08-04,AD001,UG Admission,Google Ads,17–21 Age,62326,2288,416,208,97,"₹ 53,808","₹ 514,276",West India
2024-08-04,AD005,Semester Exchange Program,Instagram,22–27 Age,60178,3164,594,300,141,"₹ 36,780","₹ 638,056",East India
2024-08-05,AD001,UG Admission,Google Ads,17–21 Age,105561,6091,1210,657,361,"₹ 58,133","₹ 1,085,319",South India
2024-08-05,AD005,Semester Exchange Program,Instagram,17–21 Age,108128,4562,1033,586,260,"₹ 58,193","₹ 1,634,561",South India
2024-08-06,AD001,UG Admission,Google Ads,17–21 Age,96715,4883,1120,538,232,"₹ 43,537","₹ 1,813,997",East India
2024-08-06,AD005,Semester Exchange Program,Instagram,25–35 Age,99786,4538,843,475,270,"₹ 86,473","₹ 1,992,670",North India
2024-08-07,AD001,UG Admission,Google Ads,17–21 Age,297887,19916,3329,2125,936,"₹ 270,728","₹ 2,895,012",West India
2024-08-07,AD005,Semester Exchange Program,Instagram,17–21 Age,54376,2198,530,240,98,"₹ 48,889","₹ 404,235",Pan India
2024-08-08,AD001,UG Admission,Google Ads,17–21 Age,88036,3843,807,511,208,"₹ 69,666","₹ 1,270,694",Pan India
2024-08-08,AD005,Semester Exchange Program,Instagram,17–21 Age,276523,11747,1913,1099,451,"₹ 112,551","₹ 3,062,511",West India
2024-08-09,AD001,UG Admission,Google Ads,17–21 Age,61270,3608,771,487,203,"₹ 48,487","₹ 1,016,705",South India
2024-08-09,AD005,Semester Exchange Program,Instagram,25–35 Age,175935,8558,1832,1035,601,"₹ 163,463","₹ 2,873,827",East India
2024-08-10,AD001,UG Admission,Google Ads,17–21 Age,270202,19267,3864,1957,1169,"₹ 132,916","₹ 5,811,867",Pan India
2024-08-10,AD005,Semester Exchange Program,Instagram,17–21 Age,70308,4870,930,492,251,"₹ 51,723","₹ 1,262,104",South India
2024-08-11,AD001,UG Admission,Google Ads,17–21 Age,206790,15329,3569,2038,1076,"₹ 151,435","₹ 8,479,989",South India
2024-08-11,AD005,Semester Exchange Program,Instagram,25–35 Age,239465,10006,1533,767,445,"₹ 119,177","₹ 3,554,174",North India
2024-08-12,AD001,UG Admission,Google Ads,17–21 Age,143259,4765,1041,609,246,"₹ 103,534","₹ 1,950,084",Pan India
2024-08-12,AD005,Semester Exchange Program,Instagram,25–35 Age,60504,2239,539,322,184,"₹ 54,507","₹ 1,051,156",Pan India
2024-08-13,AD001,UG Admission,Google Ads,17–21 Age,203962,9650,2394,1402,591,"₹ 143,265","₹ 2,808,714",North India
2024-08-13,AD005,Semester Exchange Program,Instagram,17–21 Age,140195,9654,1913,1044,524,"₹ 78,718","₹ 3,267,340",West India
2024-08-14,AD001,UG Admission,Google Ads,17–21 Age,93684,5805,1305,670,372,"₹ 41,068","₹ 1,553,036",West India
2024-08-14,AD005,Semester Exchange Program,Instagram,25–35 Age,184290,10858,2176,991,427,"₹ 163,227","₹ 1,995,132",South India
2024-08-15,AD001,UG Admission,Google Ads,17–21 Age,246897,8565,2017,1112,614,"₹ 246,807","₹ 4,424,382",North India
2024-08-15,AD005,Semester Exchange Program,Instagram,17–21 Age,75772,2986,585,343,194,"₹ 50,359","₹ 1,510,027",North India
2024-08-16,AD001,UG Admission,Google Ads,17–21 Age,259857,18951,3776,2370,1066,"₹ 110,741","₹ 3,876,987",North India
2024-08-16,AD005,Semester Exchange Program,Instagram,25–35 Age,147185,8624,2052,1243,630,"₹ 102,580","₹ 3,446,318",West India
2024-08-17,AD001,UG Admission,Google Ads,17–21 Age,160425,11372,2306,1230,588,"₹ 133,747","₹ 2,831,001",North India
2024-08-17,AD005,Semester Exchange Program,Instagram,22–27 Age,196487,8699,1691,1051,613,"₹ 171,744","₹ 3,311,851",South India
2024-08-18,AD001,UG Admission,Google Ads,17–21 Age,136692,7477,1371,764,442,"₹ 120,425","₹ 2,071,544",West India
2024-08-18,AD005,Semester Exchange Program,Instagram,25–35 Age,254671,15131,3100,1454,638,"₹ 167,140","₹ 4,151,996",West India
2024-08-19,AD001,UG Admission,Google Ads,17–21 Age,167681,13225,2990,1842,894,"₹ 92,404","₹ 6,148,024",North India
2024-08-19,AD005,Semester Exchange Program,Instagram,17–21 Age,150411,8934,1854,1043,438,"₹ 83,953","₹ 3,329,055",East India
2024-08-20,AD001,UG Admission,Google Ads,17–21 Age,50916,2686,642,387,160,"₹ 34,435","₹ 774,445",North India
2024-08-20,AD005,Semester Exchange Program,Instagram,22–27 Age,266600,18274,4074,2224,907,"₹ 192,783","₹ 4,819,731",South India
2024-08-21,AD001,UG Admission,Google Ads,17–21 Age,246115,17238,2715,1569,816,"₹ 239,238","₹ 5,018,705",East India
2024-08-21,AD005,Semester Exchange Program,Instagram,17–21 Age,286047,14611,3332,1656,978,"₹ 195,180","₹ 5,342,189",North India
2024-08-22,AD001,UG Admission,Google Ads,17–21 Age,55434,3340,628,299,157,"₹ 47,689","₹ 567,663",Pan India
2024-08-22,AD005,Semester Exchange Program,Instagram,17–21 Age,138420,9190,1758,895,476,"₹ 121,776","₹ 3,796,436",South India
2024-08-23,AD001,UG Admission,Google Ads,17–21 Age,212121,8521,1831,1065,523,"₹ 210,423","₹ 1,816,349",South India
2024-08-23,AD005,Semester Exchange Program,Instagram,22–27 Age,174155,7729,1269,726,423,"₹ 114,530","₹ 1,755,445",South India
2024-08-24,AD001,UG Admission,Google Ads,17–21 Age,298055,23238,3774,2035,1015,"₹ 255,249","₹ 5,574,248",West India
2024-08-24,AD005,Semester Exchange Program,Instagram,17–21 Age,73433,3246,574,335,163,"₹ 43,645","₹ 1,029,954",Pan India
2024-08-25,AD001,UG Admission,Google Ads,17–21 Age,273318,12830,2725,1477,719,"₹ 249,801","₹ 3,360,100",West India
2024-08-25,AD005,Semester Exchange Program,Instagram,17–21 Age,190927,8324,1746,1040,502,"₹ 153,681","₹ 1,737,264",West India
2024-08-26,AD001,UG Admission,Google Ads,17–21 Age,280548,22400,3381,2001,1115,"₹ 243,364","₹ 7,580,436",Pan India
2024-08-26,AD005,Semester Exchange Program,Instagram,17–21 Age,285397,15333,2569,1619,881,"₹ 167,612","₹ 5,312,696",Pan India
2024-08-27,AD001,UG Admission,Google Ads,17–21 Age,230587,11780,2103,985,557,"₹ 170,545","₹ 2,172,106",North India
2024-08-27,AD005,Semester Exchange Program,Instagram,22–27 Age,239102,11777,2683,1443,793,"₹ 178,773","₹ 6,237,100",South India
2024-08-28,AD001,UG Admission,Google Ads,17–21 Age,122769,4992,1154,639,335,"₹ 76,198","₹ 1,803,614",East India
2024-08-28,AD005,Semester Exchange Program,Instagram,25–35 Age,118445,9312,1796,862,394,"₹ 53,889","₹ 1,248,957",Pan India
2024-08-29,AD001,UG Admission,Google Ads,17–21 Age,176924,6002,1405,726,305,"₹ 149,271","₹ 1,316,066",Pan India
2024-08-29,AD005,Semester Exchange Program,Instagram,17–21 Age,141835,4781,815,412,201,"₹ 71,163","₹ 1,195,977",East India
2024-08-30,AD001,UG Admission,Google Ads,17–21 Age,89353,3461,777,423,218,"₹ 68,408","₹ 1,404,431",East India
2024-08-30,AD005,Semester Exchange Program,Instagram,25–35 Age,172603,13771,3131,1756,957,"₹ 123,950","₹ 7,284,647",West India
2024-08-31,AD001,UG Admission,Google Ads,17–21 Age,275170,8309,2008,1217,654,"₹ 116,652","₹ 2,196,952",North India
2024-08-31,AD005,Semester Exchange Program,Instagram,25–35 Age,188007,12565,2831,1364,556,"₹ 100,933","₹ 2,063,936",North India
2024-09-01,AD005,Semester Exchange Program,Instagram,25–35 Age,277995,17323,3307,1962,807,"₹ 119,950","₹ 3,907,589",East India
2024-09-02,AD005,Semester Exchange Program,Instagram,17–21 Age,204641,14981,3396,1681,682,"₹ 155,414","₹ 5,373,759",Pan India
2024-09-03,AD005,Semester Exchange Program,Instagram,22–27 Age,80461,5310,1043,626,251,"₹ 56,362","₹ 988,492",East India
2024-09-04,AD005,Semester Exchange Program,Instagram,17–21 Age,225116,11836,2871,1828,993,"₹ 145,813","₹ 7,254,951",South India
2024-09-05,AD005,Semester Exchange Program,Instagram,17–21 Age,116737,9182,1836,1173,621,"₹ 99,176","₹ 2,537,615",South India
2024-09-06,AD005,Semester Exchange Program,Instagram,22–27 Age,63297,4534,954,479,279,"₹ 50,867","₹ 2,142,106",Pan India
2024-09-07,AD005,Semester Exchange Program,Instagram,22–27 Age,58123,2245,487,238,102,"₹ 48,038","₹ 806,658",West India
2024-09-08,AD005,Semester Exchange Program,Instagram,17–21 Age,245747,19560,3600,2070,927,"₹ 200,843","₹ 3,867,146",West India
2024-09-09,AD005,Semester Exchange Program,Instagram,17–21 Age,84497,2556,527,306,147,"₹ 40,401","₹ 517,444",East India
2024-09-10,AD005,Semester Exchange Program,Instagram,17–21 Age,241659,17679,2873,1586,722,"₹ 135,222","₹ 4,879,841",East India
2024-09-11,AD005,Semester Exchange Program,Instagram,22–27 Age,65507,2625,419,269,116,"₹ 58,811","₹ 812,926",West India
2024-09-12,AD005,Semester Exchange Program,Instagram,17–21 Age,89606,3064,523,302,174,"₹ 82,238","₹ 1,090,016",Pan India
2024-09-13,AD005,Semester Exchange Program,Instagram,25–35 Age,288944,22296,3936,2456,1336,"₹ 268,441","₹ 10,200,619",North India
2024-09-14,AD005,Semester Exchange Program,Instagram,25–35 Age,61065,3349,511,253,103,"₹ 50,675","₹ 618,471",East India
2024-09-15,AD005,Semester Exchange Program,Instagram,17–21 Age,52998,2691,556,360,169,"₹ 42,374","₹ 1,263,776",South India
2024-09-16,AD005,Semester Exchange Program,Instagram,17–21 Age,188733,6063,1486,848,495,"₹ 117,045","₹ 1,718,165",West India
2024-09-17,AD005,Semester Exchange Program,Instagram,22–27 Age,264523,8422,1397,690,285,"₹ 174,372","₹ 2,190,323",North India
2024-09-18,AD005,Semester Exchange Program,Instagram,17–21 Age,99863,5899,1473,894,463,"₹ 73,759","₹ 1,765,142",East India
2024-09-19,AD005,Semester Exchange Program,Instagram,25–35 Age,76229,4994,1189,748,448,"₹ 38,131","₹ 2,070,392",North India
2024-09-20,AD005,Semester Exchange Program,Instagram,17–21 Age,121757,6018,1136,664,374,"₹ 107,788","₹ 2,220,089",South India
2024-09-21,AD005,Semester Exchange Program,Instagram,25–35 Age,114298,4785,1131,713,345,"₹ 80,919","₹ 2,265,578",North India
2024-09-22,AD005,Semester Exchange Program,Instagram,17–21 Age,105308,7365,1272,726,432,"₹ 43,967","₹ 2,323,390",North India
2024-09-23,AD005,Semester Exchange Program,Instagram,22–27 Age,136857,9505,1522,788,362,"₹ 65,109","₹ 1,489,069",South India
2024-09-24,AD005,Semester Exchange Program,Instagram,17–21 Age,134230,8702,1365,650,332,"₹ 124,822","₹ 1,474,440",West India
2024-09-25,AD005,Semester Exchange Program,Instagram,22–27 Age,262940,21020,4963,2852,1664,"₹ 200,319","₹ 7,439,846",North India
2024-09-26,AD005,Semester Exchange Program,Instagram,25–35 Age,273481,17743,3097,1835,1000,"₹ 262,908","₹ 7,305,476",South India
2024-09-27,AD005,Semester Exchange Program,Instagram,17–21 Age,81135,4547,1123,543,325,"₹ 72,932","₹ 1,570,057",North India
2024-09-28,AD005,Semester Exchange Program,Instagram,22–27 Age,177065,8511,1962,1141,682,"₹ 126,930","₹ 4,613,730",West India
2024-09-29,AD005,Semester Exchange Program,Instagram,17–21 Age,120820,8446,1398,808,382,"₹ 96,604","₹ 1,911,054",South India
2024-09-30,AD005,Semester Exchange Program,Instagram,17–21 Age,108200,3265,588,270,146,"₹ 90,136","₹ 550,297",Pan India
2024-10-01,AD005,Semester Exchange Program,Instagram,25–35 Age,181393,7776,1216,691,308,"₹ 116,711","₹ 955,853",South India
2024-10-02,AD005,Semester Exchange Program,Instagram,25–35 Age,188107,11836,2751,1255,668,"₹ 83,985","₹ 3,644,884",North India
2024-10-03,AD005,Semester Exchange Program,Instagram,17–21 Age,136913,4144,997,508,257,"₹ 88,554","₹ 1,706,756",South India
2024-10-04,AD005,Semester Exchange Program,Instagram,25–35 Age,275383,21966,4741,2231,912,"₹ 239,729","₹ 3,926,372",Pan India
2024-10-05,AD005,Semester Exchange Program,Instagram,25–35 Age,287478,15296,2824,1485,658,"₹ 273,924","₹ 2,298,554",North India
2024-10-06,AD005,Semester Exchange Program,Instagram,25–35 Age,177706,6076,1461,913,494,"₹ 142,059","₹ 1,710,668",Pan India
2024-10-07,AD005,Semester Exchange Program,Instagram,25–35 Age,295188,8972,1635,877,449,"₹ 209,784","₹ 3,330,514",East India
2024-10-08,AD005,Semester Exchange Program,Instagram,25–35 Age,142451,6326,1430,782,396,"₹ 65,523","₹ 2,443,483",North India
2024-10-09,AD005,Semester Exchange Program,Instagram,22–27 Age,54463,3186,540,317,161,"₹ 38,379","₹ 865,327",East India
2024-10-10,AD005,Semester Exchange Program,Instagram,25–35 Age,139686,5412,1042,509,290,"₹ 75,836","₹ 1,654,751",East India
2024-10-11,AD005,Semester Exchange Program,Instagram,25–35 Age,120409,4489,780,484,246,"₹ 110,563","₹ 1,888,857",East India
2024-10-12,AD005,Semester Exchange Program,Instagram,17–21 Age,216016,10639,1987,1050,475,"₹ 139,364","₹ 1,826,452",South India
2024-10-13,AD005,Semester Exchange Program,Instagram,17–21 Age,58912,4326,782,498,295,"₹ 48,217","₹ 1,214,181",South India
2024-10-14,AD005,Semester Exchange Program,Instagram,22–27 Age,202717,6817,1069,693,358,"₹ 116,989","₹ 1,522,258",West India
2024-10-15,AD005,Semester Exchange Program,Instagram,22–27 Age,251656,18834,3343,1918,1080,"₹ 241,798","₹ 7,037,867",South India
2024-10-16,AD005,Semester Exchange Program,Instagram,17–21 Age,199622,6041,993,525,228,"₹ 176,722","₹ 988,512",South India
2024-10-17,AD005,Semester Exchange Program,Instagram,25–35 Age,69381,3391,607,363,166,"₹ 49,757","₹ 578,095",Pan India
2024-10-18,AD005,Semester Exchange Program,Instagram,17–21 Age,287101,12759,2552,1493,878,"₹ 208,157","₹ 4,202,663",North India
2024-10-19,AD005,Semester Exchange Program,Instagram,17–21 Age,184878,12850,2357,1514,788,"₹ 119,294","₹ 4,620,821",East India
2024-10-20,AD005,Semester Exchange Program,Instagram,22–27 Age,92994,4254,1025,663,325,"₹ 63,510","₹ 1,979,291",West India
2024-10-21,AD005,Semester Exchange Program,Instagram,25–35 Age,122794,7849,1907,1022,609,"₹ 115,045","₹ 2,146,534",East India
2024-10-22,AD005,Semester Exchange Program,Instagram,17–21 Age,91570,6739,1285,721,353,"₹ 79,415","₹ 2,003,387",West India
2024-10-23,AD005,Semester Exchange Program,Instagram,25–35 Age,136044,5700,1277,576,315,"₹ 81,290","₹ 1,260,960",West India
2024-10-24,AD005,Semester Exchange Program,Instagram,22–27 Age,167984,5400,1206,563,278,"₹ 99,049","₹ 1,366,324",East India
2024-10-25,AD005,Semester Exchange Program,Instagram,22–27 Age,95036,5272,948,435,238,"₹ 52,510","₹ 1,552,232",North India
2024-10-26,AD005,Semester Exchange Program,Instagram,25–35 Age,59294,3218,771,376,216,"₹ 51,408","₹ 827,193",West India
2024-10-27,AD005,Semester Exchange Program,Instagram,22–27 Age,130677,9462,1831,969,562,"₹ 89,432","₹ 2,487,761",North India
2024-10-28,AD005,Semester Exchange Program,Instagram,22–27 Age,97058,3274,651,375,190,"₹ 45,063","₹ 895,882",Pan India
2024-10-29,AD005,Semester Exchange Program,Instagram,17–21 Age,179478,6773,1044,667,270,"₹ 91,661","₹ 2,080,724",North India
2024-10-30,AD005,Semester Exchange Program,Instagram,25–35 Age,281673,15379,3271,1753,1035,"₹ 204,310","₹ 3,459,762",South India
2024-10-31,AD005,Semester Exchange Program,Instagram,25–35 Age,116450,6235,1558,824,360,"₹ 65,629","₹ 1,949,669",South India
2024-11-01,AD005,Semester Exchange Program,Instagram,17–21 Age,225961,14171,3221,1819,993,"₹ 168,278","₹ 3,222,208",North India
2024-11-02,AD005,Semester Exchange Program,Instagram,25–35 Age,106756,7681,1748,926,405,"₹ 72,448","₹ 1,950,812",Pan India
2024-11-03,AD005,Semester Exchange Program,Instagram,17–21 Age,232832,9147,1633,749,397,"₹ 193,724","₹ 3,007,991",South India
2024-11-04,AD005,Semester Exchange Program,Instagram,22–27 Age,283483,9399,2257,1289,646,"₹ 152,209","₹ 2,606,458",Pan India
2024-11-05,AD005,Semester Exchange Program,Instagram,25–35 Age,239123,8684,1946,1221,722,"₹ 204,002","₹ 2,714,132",North India
2024-11-06,AD005,Semester Exchange Program,Instagram,25–35 Age,276380,16064,2534,1232,551,"₹ 170,391","₹ 3,092,024",East India
2024-11-07,AD005,Semester Exchange Program,Instagram,17–21 Age,270180,14454,3258,1917,990,"₹ 268,873","₹ 6,443,869",West India
2024-11-08,AD005,Semester Exchange Program,Instagram,17–21 Age,286662,11043,1712,779,318,"₹ 131,185","₹ 1,392,508",East India
2024-11-09,AD005,Semester Exchange Program,Instagram,22–27 Age,181568,10036,2164,1043,557,"₹ 105,289","₹ 2,943,847",Pan India
2024-11-10,AD005,Semester Exchange Program,Instagram,17–21 Age,55161,1674,327,182,93,"₹ 27,683","₹ 419,255",North India
2024-11-11,AD005,Semester Exchange Program,Instagram,25–35 Age,146332,7956,1417,687,389,"₹ 145,599","₹ 1,883,807",East India
2024-11-12,AD005,Semester Exchange Program,Instagram,17–21 Age,283452,10161,2461,1357,599,"₹ 241,562","₹ 2,333,254",East India
2024-11-13,AD005,Semester Exchange Program,Instagram,17–21 Age,266279,21175,3231,1568,646,"₹ 219,965","₹ 2,905,813",East India
2024-11-14,AD005,Semester Exchange Program,Instagram,25–35 Age,126096,4710,786,422,172,"₹ 75,860","₹ 757,099",Pan India
2024-11-15,AD005,Semester Exchange Program,Instagram,22–27 Age,72191,4406,911,578,345,"₹ 56,628","₹ 1,560,935",West India
2024-11-16,AD005,Semester Exchange Program,Instagram,25–35 Age,102772,7546,1445,670,401,"₹ 91,992","₹ 2,282,140",Pan India
2024-11-17,AD005,Semester Exchange Program,Instagram,22–27 Age,110873,5990,1401,803,465,"₹ 86,113","₹ 2,382,488",Pan India
2024-11-18,AD005,Semester Exchange Program,Instagram,17–21 Age,204362,14066,3141,1562,659,"₹ 184,747","₹ 3,568,654",South India
2024-11-19,AD005,Semester Exchange Program,Instagram,17–21 Age,180572,12720,2814,1384,578,"₹ 137,202","₹ 3,495,164",West India
2024-11-20,AD005,Semester Exchange Program,Instagram,25–35 Age,193929,13873,3062,1471,874,"₹ 161,155","₹ 6,776,186",West India
2024-11-21,AD005,Semester Exchange Program,Instagram,25–35 Age,82283,2921,481,235,130,"₹ 76,726","₹ 415,138",North India
2024-11-22,AD005,Semester Exchange Program,Instagram,25–35 Age,192091,11604,2347,1104,643,"₹ 125,058","₹ 4,406,790",West India
2024-11-23,AD005,Semester Exchange Program,Instagram,25–35 Age,65161,2390,561,334,173,"₹ 46,010","₹ 825,434",South India
2024-11-24,AD005,Semester Exchange Program,Instagram,22–27 Age,273486,9563,1760,876,515,"₹ 230,126","₹ 3,733,798",Pan India
2024-11-25,AD005,Semester Exchange Program,Instagram,22–27 Age,69058,3605,672,383,211,"₹ 46,790","₹ 1,676,078",South India
2024-11-26,AD005,Semester Exchange Program,Instagram,22–27 Age,91853,6881,1240,672,277,"₹ 44,008","₹ 1,877,094",North India
2024-11-27,AD005,Semester Exchange Program,Instagram,17–21 Age,90600,5028,1186,602,308,"₹ 73,545","₹ 1,650,695",East India
2024-11-28,AD005,Semester Exchange Program,Instagram,22–27 Age,175761,5318,1233,657,374,"₹ 116,486","₹ 2,032,416",South India
2024-11-29,AD005,Semester Exchange Program,Instagram,22–27 Age,255808,20215,4403,2084,1238,"₹ 219,726","₹ 5,687,976",West India
2024-11-30,AD005,Semester Exchange Program,Instagram,22–27 Age,80454,5850,1090,544,298,"₹ 70,152","₹ 1,542,619",Pan India
2024-12-01,AD005,Semester Exchange Program,Instagram,17–21 Age,197437,15661,3170,2036,967,"₹ 127,000","₹ 3,380,862",East India
2024-12-02,AD005,Semester Exchange Program,Instagram,25–35 Age,89542,6519,1086,697,285,"₹ 60,866","₹ 1,813,988",East India
2024-12-03,AD005,Semester Exchange Program,Instagram,17–21 Age,264827,17541,3210,1832,918,"₹ 239,779","₹ 4,492,737",North India
2024-12-04,AD005,Semester Exchange Program,Instagram,25–35 Age,246484,15426,3748,2056,1100,"₹ 197,908","₹ 3,733,898",North India
2024-12-05,AD005,Semester Exchange Program,Instagram,22–27 Age,166847,6747,1403,818,471,"₹ 125,047","₹ 1,803,265",Pan India
2024-12-06,AD005,Semester Exchange Program,Instagram,17–21 Age,159764,8942,1411,644,294,"₹ 90,589","₹ 1,354,157",Pan India
2024-12-07,AD005,Semester Exchange Program,Instagram,22–27 Age,102163,5048,1064,661,327,"₹ 60,848","₹ 2,575,368",West India
2024-12-08,AD005,Semester Exchange Program,Instagram,25–35 Age,126853,7221,1286,797,398,"₹ 50,967","₹ 2,508,470",West India
2024-12-09,AD005,Semester Exchange Program,Instagram,25–35 Age,220003,12964,2716,1272,714,"₹ 149,925","₹ 5,270,433",East India
2024-12-10,AD005,Semester Exchange Program,Instagram,22–27 Age,201824,7307,1450,689,362,"₹ 150,906","₹ 1,905,071",Pan India
2024-12-11,AD005,Semester Exchange Program,Instagram,17–21 Age,250260,19853,3492,1798,784,"₹ 135,507","₹ 2,906,425",West India
2024-12-12,AD005,Semester Exchange Program,Instagram,25–35 Age,135664,4928,1186,699,396,"₹ 57,126","₹ 2,556,577",West India
2024-12-13,AD005,Semester Exchange Program,Instagram,25–35 Age,160397,9855,1850,945,509,"₹ 66,688","₹ 2,358,768",Pan India
2024-12-14,AD005,Semester Exchange Program,Instagram,22–27 Age,79723,3466,546,277,162,"₹ 45,008","₹ 714,695",Pan India
2024-12-15,AD005,Semester Exchange Program,Instagram,25–35 Age,152326,8620,2136,1366,558,"₹ 144,404","₹ 4,066,244",North India
2024-12-16,AD005,Semester Exchange Program,Instagram,25–35 Age,215008,12718,3010,1775,928,"₹ 185,495","₹ 5,966,829",North India
2024-12-17,AD005,Semester Exchange Program,Instagram,25–35 Age,226154,6787,1355,775,413,"₹ 127,284","₹ 3,048,286",East India
2024-12-18,AD005,Semester Exchange Program,Instagram,17–21 Age,65380,3622,886,466,197,"₹ 38,281","₹ 618,936",East India
2024-12-19,AD005,Semester Exchange Program,Instagram,22–27 Age,64816,4503,783,385,198,"₹ 36,917","₹ 1,292,747",South India
2024-12-20,AD005,Semester Exchange Program,Instagram,25–35 Age,129732,6744,1532,866,459,"₹ 59,861","₹ 3,616,448",North India
2024-12-21,AD005,Semester Exchange Program,Instagram,25–35 Age,191010,6685,1113,682,386,"₹ 84,243","₹ 2,143,081",East India
2024-12-22,AD005,Semester Exchange Program,Instagram,22–27 Age,68302,2222,383,243,139,"₹ 55,070","₹ 866,752",West India
